JournalID	Journal_Name	ISSN	Publisher	Webpage
465895	Eureka	1342-5641		http://www.archim.org.uk/eureka/
1137746	The Artist and Journal of Home Culture	2329-8189		
2978343	Cumberland Law Review	0360-8298		http://www.cumberlandlawreview.com/
3010151	Comparative Medicine East and West	0147-2917		
3164724	Physiological Measurement	0967-3334		
17807283	Theoretical Population Biology	0040-5809		http://www.journals.elsevier.com/theoretical-population-biology/
18204665	International Journal of Multiphase Flow	0301-9322		
27908409	Acta Veterinaria Hungarica	0236-6290		
40275224	Revista Latinoamericana de Química	0370-5943		http://www.relaquim.com/
42124886	Scandinavian Journal of Rheumatology	0300-9742		
43712856	Current Archaeology	0011-3212		http://www.archaeology.co.uk/
46496192	Nutrition and Health	0260-1060		http://nah.sagepub.com/
50054696	Advances in Immunology	0065-2776		
50585835	Journal of the American Research Center in Egypt	0065-9991		http://www.arce.org/publications/journal.htm
50630504	Food Microbiology	0740-0020		
51897464	Journal of Electronics Manufacturing	0960-3131		
54941560	International Journal of Global Environmental Issues	1466-6650		
56137297	Currents	0748-478X		
62018274	Journal of International Medical Research	0300-0605		
67731806	British Veterinary Journal	0007-1935		
68332911	Turkish Journal of Medical Sciences	1300-0144		
74082208	Filtration Industry Analyst	1365-6937		
74993422	Industrial & Engineering Chemistry Chemical & Engineering Data Series			
76379409	Epilepsy Currents	1535-7511		http://www.aesnet.org/go/publications/epilepsy-currents
78666835	Macedonian Journal of Chemistry and Chemical Engineering	1857-5552		
79201580	Religion and Human Rights	1871-031X		
79820318	Scandinavian Journal of Forest Research	0282-7581		
80222133	The Open Acoustics Journal			
82774605	Hearing Research	0378-5955		
87328381	Journal of Occupational and Organizational Psychology	0963-1798		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8325
87560609	Evolution	0014-3820		http://www.wiley.com/bw/journal.asp?ref=0014-3820
88256731	Journal of Central South University of Technology	1005-9784		
96107623	Journal of Computer-aided Materials Design	0928-1045		
96305778	Transportation Research Part B-methodological	0191-2615		
98941412	Handbooks of Management Accounting Research	1878-0121		
99453086	Sports Engineering	1369-7072		
103271999	European Journal of Language Policy	1757-6822		
106702950	The American Review of Public Administration	0275-0740		http://arp.sagepub.com/
107004239	Journal of Emergency Management	1543-5865		
108758393	Progress in Lipid Research	0163-7827		
117687505	Journal of Cellular and Comparative Physiology	0095-9898		
119405978	Annual Review of Ecology, Evolution, and Systematics	1543-592X		http://www.annualreviews.org/journal/ecolsys
119503851	Journal of Information Security			
120037611	Journal of Manufacturing Processes	1526-6125		
125331230	Mapping Sciences & Remote Sensing			
132147440	Ire Transactions on Product Engineering and Production			
133660675	European Journal of Phycology	0967-0262		
